BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2459424.227999,1.00450,0.00268,1.9905,0.21,-0.90,3.71,47936
2459424.228717,1.00546,0.00267,1.9810,0.11,-0.72,3.73,47292
2459424.229434,1.00363,0.00266,1.9716,-0.10,-0.61,3.57,49999
2459424.230140,1.00207,0.00266,1.9624,-0.16,-0.63,3.89,40367
2459424.230858,1.00581,0.00265,1.9532,-0.67,-0.77,3.75,45642
2459424.231564,0.99864,0.00264,1.9442,0.03,0.05,3.82,47744
2459424.232282,1.00423,0.00262,1.9351,0.00,0.01,3.89,45211
2459424.232999,1.00380,0.00262,1.9262,0.10,-0.87,3.55,47612
2459424.233705,1.00006,0.00259,1.9174,0.32,-0.60,3.25,56405
2459424.234424,1.00537,0.00261,1.9086,-0.13,0.10,3.42,50436
2459424.235130,1.00000,0.00260,1.9001,-0.49,-0.87,3.54,51805
2459424.235847,1.00209,0.00260,1.8915,0.02,-1.25,3.53,44892
2459424.236565,1.00416,0.00260,1.8829,-0.01,-0.66,3.53,56362
2459424.237271,1.00166,0.00259,1.8746,-0.00,0.12,3.24,49265
2459424.237989,1.00275,0.00261,1.8662,-1.25,-0.33,3.43,53300
2459424.238695,1.00432,0.00261,1.8581,-0.04,-0.62,3.20,49405
2459424.239412,1.00327,0.00261,1.8499,0.55,-0.27,3.50,50758
2459424.240118,1.00096,0.00259,1.8419,-0.44,-0.46,3.48,52898
2459424.240836,1.00027,0.00259,1.8338,-0.24,-0.76,3.57,49132
2459424.241553,1.00106,0.00258,1.8259,-0.01,-0.38,3.57,50927
2459424.242259,1.00163,0.00257,1.8181,-0.18,-0.52,3.61,50511
2459424.242977,1.00965,0.00259,1.8103,-0.59,-0.73,3.50,51746
2459424.243695,1.00060,0.00258,1.8025,0.04,-0.14,3.55,52071
2459424.244401,0.99993,0.00258,1.7950,-0.05,-0.63,3.63,48347
2459424.245118,1.00345,0.00258,1.7874,-0.45,-0.33,3.65,44501
2459424.245836,0.99772,0.00257,1.7799,-0.22,-0.34,3.55,51477
2459424.246553,0.99877,0.00254,1.7724,-0.05,-0.70,3.55,54254
2459424.247259,1.00182,0.00254,1.7651,0.11,-0.37,3.80,49537
2459424.247977,0.99854,0.00253,1.7578,-0.46,-0.49,3.72,49629
2459424.248684,0.99675,0.00255,1.7507,0.10,-0.90,3.99,44218
2459424.249402,1.00368,0.00254,1.7435,0.10,-0.02,3.85,48704
2459424.250119,1.00727,0.00254,1.7364,0.02,0.41,3.67,46897
2459424.250825,1.00604,0.00254,1.7295,-0.37,-0.55,4.22,40762
2459424.251543,1.00518,0.00254,1.7225,-0.26,0.04,3.63,43490
2459424.252260,1.00267,0.00252,1.7156,-0.14,-0.68,3.79,49522
2459424.252966,1.00266,0.00252,1.7088,-0.45,-0.51,3.63,50528
2459424.253684,1.00464,0.00253,1.7020,-0.46,-0.54,3.89,45091
2459424.254402,0.99927,0.00254,1.6953,0.66,-0.33,3.91,40069
2459424.255108,1.00136,0.00257,1.6888,-0.55,-0.20,3.71,52141
2459424.255825,1.00099,0.00257,1.6822,-0.65,-0.14,3.67,50192
2459424.256543,1.00020,0.00258,1.6756,0.03,-0.22,3.66,47176
2459424.257260,0.99713,0.00255,1.6691,0.55,-0.51,3.71,47461
2459424.257966,0.99657,0.00256,1.6628,-0.03,-0.37,3.75,40848
2459424.258684,0.99636,0.00255,1.6564,0.18,0.02,4.29,42949
2459424.259402,0.99755,0.00256,1.6501,-0.33,-0.65,3.81,40720
2459424.260108,0.99420,0.00255,1.6440,-0.07,-0.40,3.64,48970
2459424.260825,0.99047,0.00258,1.6378,0.26,-0.31,3.78,47100
2459424.261543,0.99201,0.00257,1.6317,0.09,-0.31,3.58,48602
2459424.262249,0.99139,0.00259,1.6257,-0.11,0.01,3.54,45066
2459424.262967,0.99630,0.00262,1.6196,0.14,-0.82,3.86,45734
2459424.263685,0.98978,0.00262,1.6137,0.37,-0.56,3.74,44912
2459424.264391,0.99132,0.00263,1.6078,0.10,-0.03,3.89,39508
2459424.265109,0.99320,0.00265,1.6020,0.41,-0.37,4.32,35053
2459424.265826,0.99604,0.00266,1.5962,-1.07,0.28,4.22,35728
2459424.266532,0.99614,0.00265,1.5905,-0.41,-0.46,4.49,30909
2459424.267250,0.99847,0.00263,1.5848,-0.36,0.38,4.43,32861
2459424.267956,0.99648,0.00260,1.5792,-0.60,0.28,3.96,41292
2459424.268673,0.99407,0.00260,1.5736,-0.06,0.12,4.07,39893
2459424.269391,0.98879,0.00257,1.5680,0.87,-0.07,4.13,39298
2459424.270097,0.99196,0.00257,1.5626,0.46,0.61,4.07,39142
2459424.270815,0.98892,0.00256,1.5572,-0.14,-0.06,4.26,39007
2459424.271521,0.99378,0.00253,1.5518,-0.35,0.00,3.63,42669
2459424.272238,0.99196,0.00253,1.5465,0.34,0.26,3.81,42671
2459424.272944,0.99670,0.00257,1.5412,0.08,0.52,4.26,35567
2459424.273662,0.99363,0.00255,1.5359,-0.24,0.35,3.84,47952
2459424.274368,0.99229,0.00258,1.5308,-0.02,0.18,4.13,39607
2459424.275085,0.99131,0.00261,1.5256,0.16,-0.05,4.35,36150
2459424.275803,0.99552,0.00262,1.5205,-0.03,0.15,4.14,34961
2459424.276509,0.99343,0.00266,1.5155,0.15,0.77,4.25,38008
2459424.277228,0.99178,0.00265,1.5104,-0.61,0.24,3.63,42982
2459424.277934,0.99344,0.00265,1.5055,0.43,0.08,3.77,50199
2459424.278651,0.99180,0.00264,1.5005,-0.09,1.05,3.62,49465
2459424.279357,0.98750,0.00264,1.4957,0.27,0.07,3.43,50890
2459424.280075,0.99452,0.00268,1.4908,0.53,0.81,3.78,41424
2459424.280781,0.99149,0.00266,1.4861,-0.43,0.34,3.72,41735
2459424.281499,0.99466,0.00262,1.4813,0.67,0.24,3.84,42593
2459424.282205,0.99062,0.00260,1.4766,0.12,0.29,3.70,43436
2459424.282922,0.99420,0.00258,1.4719,-0.16,0.26,3.68,45869
2459424.283640,0.99358,0.00264,1.4672,-0.17,0.35,3.71,46975
2459424.284346,1.00249,0.00270,1.4627,0.70,0.88,4.01,38166
2459424.285063,0.99475,0.00270,1.4581,0.09,0.32,3.78,41404
2459424.285769,0.99246,0.00269,1.4536,0.49,-0.05,4.07,46014
2459424.286487,0.99542,0.00265,1.4491,-0.07,-0.15,3.70,44870
2459424.287193,0.99778,0.00264,1.4447,0.64,0.41,3.73,42077
2459424.287911,0.99787,0.00265,1.4403,-0.05,1.03,3.79,46572
2459424.288617,0.99261,0.00268,1.4359,-0.09,1.05,3.46,55731
2459424.289334,0.99739,0.00267,1.4316,0.21,0.26,3.92,43167
2459424.290040,0.99514,0.00261,1.4273,-0.01,0.81,3.63,46509
2459424.290758,1.00152,0.00259,1.4231,-0.04,0.70,3.32,52606
2459424.291476,1.00059,0.00262,1.4188,0.46,0.85,3.71,45011
2459424.292182,0.99877,0.00257,1.4147,0.24,0.47,3.82,45695
2459424.292900,1.00221,0.00258,1.4105,0.48,0.70,3.93,40917
2459424.293606,1.00299,0.00256,1.4064,-0.17,0.70,3.86,45618
2459424.294324,1.00345,0.00253,1.4023,0.56,0.73,3.73,47826
2459424.295030,1.00405,0.00253,1.3983,-0.01,0.97,3.72,55559
2459424.295747,1.00933,0.00254,1.3943,0.93,0.18,3.90,51412
2459424.296453,1.00400,0.00253,1.3903,0.51,1.01,3.95,48675
2459424.297171,1.00602,0.00255,1.3864,0.16,0.44,3.58,51370
2459424.297877,0.99936,0.00256,1.3825,1.05,0.46,3.82,49369
2459424.298594,1.00441,0.00258,1.3786,0.63,0.36,3.67,49654
2459424.299312,1.00570,0.00262,1.3747,0.58,0.47,3.96,44261
2459424.300018,1.00596,0.00264,1.3710,0.42,1.44,3.50,54763
2459424.300736,1.00923,0.00268,1.3672,-0.42,0.84,3.64,50897
2459424.301442,1.00075,0.00269,1.3635,0.10,-0.05,3.75,47876
2459424.302159,1.00345,0.00271,1.3597,1.14,0.74,3.90,52281
2459424.302865,0.99961,0.00276,1.3561,-0.11,0.58,3.88,47506
2459424.303583,0.99836,0.00280,1.3524,0.61,0.48,3.70,45394
2459424.304289,1.00005,0.00288,1.3488,0.42,1.10,4.06,43343
2459424.305006,1.00261,0.00295,1.3452,0.08,1.07,3.75,53520
2459424.305713,0.99957,0.00307,1.3417,0.17,0.79,3.92,50721
2459424.306431,0.99947,0.00316,1.3381,0.71,1.08,3.91,49893
2459424.307149,0.99438,0.00329,1.3346,0.95,0.56,3.48,57212
2459424.308572,0.98680,0.00360,1.3277,0.70,1.14,3.57,55397
